siteengname,observations,first_risk,latest_risk,mean_score,hotspot_status
Sanying Bridge,3,LOW,MEDIUM,1.1666666666666667,STABLE/LOWER_RISK
Second Super highway Sidewalk bridge ,3,LOW,MEDIUM,1.1666666666666667,STABLE/LOWER_RISK
Shanchee Bridge,3,HIGH,HIGH,5.833333333333333,PERSISTENT
Shangshengo,3,MEDIUM,MEDIUM,3.25,STABLE/LOWER_RISK
Shenkeng Bridge,3,HIGH,MEDIUM,2.5833333333333335,IMPROVING
Shenkeng Jhongjheng Bridge,3,MEDIUM,MEDIUM,1.3333333333333333,STABLE/LOWER_RISK
Shezih Bridge,3,HIGH,MEDIUM,2.9166666666666665,IMPROVING
Shihan Bridge,3,HIGH,HIGH,4.75,PERSISTENT
Shihgang Dam,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Shihgein Bridge,3,MEDIUM,LOW,2.0,STABLE/LOWER_RISK
Shihliuban Bridge,2,MEDIUM,MEDIUM,1.875,STABLE/LOWER_RISK
Shihmen,3,LOW,MEDIUM,1.1666666666666667,STABLE/LOWER_RISK
Shinpoo Bridge,3,HIGH,LOW,3.3333333333333335,IMPROVING
Shiutsugan No.1,3,HIGH,LOW,2.1666666666666665,IMPROVING
Shuangyuanda Bridge,3,HIGH,HIGH,5.0,PERSISTENT
Shueiwui Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Shuwan Bridge,3,HIGH,MEDIUM,2.8333333333333335,IMPROVING
Sialousi Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Siangbee Bridge,3,HIGH,HIGH,4.166666666666667,PERSISTENT
Siangya Bridge,3,HIGH,HIGH,4.75,PERSISTENT
Sichiuda Bridge,3,LOW,MEDIUM,1.75,STABLE/LOWER_RISK
Sigangda Bridge,3,MEDIUM,MEDIUM,2.25,STABLE/LOWER_RISK
Sihhu Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Simenda Bridge,3,LOW,MEDIUM,2.5,STABLE/LOWER_RISK
Sinan Bridge,3,HIGH,MEDIUM,3.25,IMPROVING
Sinbeida Bridge,3,HIGH,MEDIUM,2.8333333333333335,IMPROVING
Sincheng Bridge,6,LOW,MEDIUM,1.5833333333333333,STABLE/LOWER_RISK
Sinciwei Bridge,3,LOW,MEDIUM,1.75,STABLE/LOWER_RISK
Sinfada Bridge,3,HIGH,HIGH,3.25,PERSISTENT
SingSin Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Singein Bridge,3,HIGH,HIGH,5.416666666666667,PERSISTENT
Sinhoo Bridge,3,HIGH,MEDIUM,2.6666666666666665,IMPROVING
Sinhuwei River Bridge,3,HIGH,HIGH,4.0,PERSISTENT
Sinlanda Bridge,3,MEDIUM,MEDIUM,3.25,STABLE/LOWER_RISK
Sinliaoda Bridge,3,MEDIUM,LOW,1.1666666666666667,STABLE/LOWER_RISK
Sinpooda Bridge,3,LOW,LOW,1.1666666666666667,STABLE/LOWER_RISK
Songchiuda Bridge,3,HIGH,LOW,1.0,IMPROVING
Songwu,3,HIGH,MEDIUM,4.25,IMPROVING
Taichang Bridge,3,LOW,MEDIUM,1.1666666666666667,STABLE/LOWER_RISK
Taiping Bridge,3,HIGH,HIGH,5.0,PERSISTENT
Taipingci Bridge,2,LOW,MEDIUM,1.25,STABLE/LOWER_RISK
Taitungda Bridge,2,MEDIUM,MEDIUM,2.375,STABLE/LOWER_RISK
Teisian Vi.,3,HIGH,HIGH,5.75,PERSISTENT
Tetzekou Bridge,3,MEDIUM,MEDIUM,2.5833333333333335,STABLE/LOWER_RISK
Tianju Bridge,2,HIGH,HIGH,5.25,PERSISTENT
Tianliao Bridge,3,HIGH,MEDIUM,5.0,IMPROVING
Tokooda Bridge,3,HIGH,HIGH,4.916666666666667,PERSISTENT
Tongluo Bridge,2,LOW,LOW,1.0,STABLE/LOWER_RISK
Tonsin Bridge,3,HIGH,LOW,1.0,IMPROVING
Toucian River Bridge,3,MEDIUM,MEDIUM,2.0833333333333335,STABLE/LOWER_RISK
Tungyou River Dike,3,LOW,LOW,1.4166666666666667,STABLE/LOWER_RISK
Upper Huang River Bridge,3,LOW,LOW,1.1666666666666667,STABLE/LOWER_RISK
Wandada Bridge,3,MEDIUM,MEDIUM,3.25,STABLE/LOWER_RISK
Wanfonda Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Wanlici Bridge,3,LOW,LOW,2.1666666666666665,STABLE/LOWER_RISK
Wanshou Bridge,3,MEDIUM,MEDIUM,1.6666666666666667,STABLE/LOWER_RISK
Weiren Bridge,2,HIGH,HIGH,6.5,PERSISTENT
Wenfon Bridge,1,MEDIUM,MEDIUM,1.5,SINGLE_OBSERVATION
Woolaokan,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Wu River Bridge,3,LOW,MEDIUM,1.4166666666666667,STABLE/LOWER_RISK
Wuhuliao Bridge,3,HIGH,MEDIUM,1.875,IMPROVING
Wukon Bridge,3,HIGH,HIGH,7.166666666666667,PERSISTENT
Xizhou Bridge,2,MEDIUM,MEDIUM,2.375,STABLE/LOWER_RISK
Yanshuei River Bridge,3,HIGH,HIGH,4.666666666666667,PERSISTENT
Yilida Bridge,2,LOW,MEDIUM,1.875,STABLE/LOWER_RISK
Yongsing Bridge,2,LOW,LOW,1.0,STABLE/LOWER_RISK
Yuanben Bridge,3,HIGH,LOW,2.1666666666666665,IMPROVING
Yuemei Bridge,6,HIGH,MEDIUM,4.4375,IMPROVING
Yuemeitan Bridge,3,HIGH,HIGH,4.5,PERSISTENT
Yufonda Bridge,6,LOW,MEDIUM,2.125,STABLE/LOWER_RISK
Yujing Bridge,3,HIGH,MEDIUM,1.5,IMPROVING
Yulida Bridge,1,MEDIUM,MEDIUM,1.5,SINGLE_OBSERVATION
Yunchiada Bridge,3,HIGH,HIGH,4.75,PERSISTENT
Yunin no. 1 Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Yunlali,1,LOW,LOW,1.0,SINGLE_OBSERVATION
Yunnin Bridge,3,HIGH,HIGH,5.166666666666667,PERSISTENT
Yuqing Bridge,3,LOW,LOW,1.75,STABLE/LOWER_RISK
Zengwun River Bridge,3,MEDIUM,MEDIUM,2.1666666666666665,STABLE/LOWER_RISK
Zengwun River Mouth,3,MEDIUM,HIGH,2.0833333333333335,EMERGING
Zengwun no.1 Bridge,3,HIGH,MEDIUM,2.25,IMPROVING
Zhong Shan Bridge (Sinfo,3,HIGH,LOW,3.8333333333333335,IMPROVING
